date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:51:39	91648/91648	---MCZ	200	added ('OK')	text/html	etag:W/%22908f78a1a98ebec12560d3fa8b46ceea%22	https://dribbble.com/shots/19807069-Ahead-app-redesign-concept	C:/My%20Web%20Sites/Density/dribbble.com/shots/19807069-Ahead-app-redesign-concept.html	(from )
14:51:40	292/292	---MCZ	200	added ('OK')	text/plain	etag:W/%2265553e1a-342%22	https://dribbble.com/robots.txt		(from )
14:51:40	131949/131949	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Nov%202023%2021:56:07%20GMT	https://cdn.dribbble.com/assets/mini-master-async-4f32514148eecbf0aa51465a1ea4e4519b85c29e6c60958e0c066569c0cc16f4.css	C:/My%20Web%20Sites/Density/cdn.dribbble.com/assets/mini-master-async-4f32514148eecbf0aa51465a1ea4e4519b85c29e6c60958e0c066569c0cc16f4.css	(from https://dribbble.com/shots/19807069-Ahead-app-redesign-concept)
14:51:41	574367/574367	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20Nov%202023%2020:20:20%20GMT	https://cdn.dribbble.com/assets/shot/shot-page-12f84a737bffe1e4a55237ce85aef915bfd56a114f08e27e67ad7eb12e91c5be.css	C:/My%20Web%20Sites/Density/cdn.dribbble.com/assets/shot/shot-page-12f84a737bffe1e4a55237ce85aef915bfd56a114f08e27e67ad7eb12e91c5be.css	(from https://dribbble.com/shots/19807069-Ahead-app-redesign-concept)
14:51:41	3443/3443	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Aug%202023%2018:37:12%20GMT	https://cdn.dribbble.com/assets/apple-touch-icon-precomposed-d89780ac9e9dc19b14d8b52cb7dedc54623add8a9c9bd8056f3b99b81c3dfa41.png	C:/My%20Web%20Sites/Density/cdn.dribbble.com/assets/apple-touch-icon-precomposed-d89780ac9e9dc19b14d8b52cb7dedc54623add8a9c9bd8056f3b99b81c3dfa41.png	(from https://dribbble.com/shots/19807069-Ahead-app-redesign-concept)
14:51:41	8432/8432	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Sep%202023%2015:59:14%20GMT	https://cdn.dribbble.com/assets/favicon-192x192-d81a9f579745831b260856640b4ced5fe9742aea049542d08ee33fc7c5b3a513.png	C:/My%20Web%20Sites/Density/cdn.dribbble.com/assets/favicon-192x192-d81a9f579745831b260856640b4ced5fe9742aea049542d08ee33fc7c5b3a513.png	(from https://dribbble.com/shots/19807069-Ahead-app-redesign-concept)
14:51:42	27934/27934	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2007%20Nov%202023%2021:56:11%20GMT	https://cdn.dribbble.com/assets/vite/assets/application-a848b4c1.js	C:/My%20Web%20Sites/Density/cdn.dribbble.com/assets/vite/assets/application-a848b4c1.js	(from https://dribbble.com/shots/19807069-Ahead-app-redesign-concept)
14:51:42	40724/40724	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2016%20Oct%202023%2021:15:27%20GMT	https://cdn.dribbble.com/assets/vite/assets/chunk.GHOMGFX6-73467087.js	C:/My%20Web%20Sites/Density/cdn.dribbble.com/assets/vite/assets/chunk.GHOMGFX6-73467087.js	(from https://dribbble.com/shots/19807069-Ahead-app-redesign-concept)
14:51:43	12064/12064	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2007%20Nov%202023%2021:56:20%20GMT	https://cdn.dribbble.com/assets/vite/assets/sl-dialog-show-48b6f607.js	C:/My%20Web%20Sites/Density/cdn.dribbble.com/assets/vite/assets/sl-dialog-show-48b6f607.js	(from https://dribbble.com/shots/19807069-Ahead-app-redesign-concept)
14:51:43	18452/18452	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Nov%202023%2021:56:10%20GMT	https://cdn.dribbble.com/assets/vite/assets/shoelace-overrides-3f1a8ecd.css	C:/My%20Web%20Sites/Density/cdn.dribbble.com/assets/vite/assets/shoelace-overrides-3f1a8ecd.css	(from https://dribbble.com/shots/19807069-Ahead-app-redesign-concept)
14:51:45	2156188/2156188	---M--	200	added ('OK')	image/jpeg	etag:%2280ddfd1ad14d61f8000b37c7ee06dc0b%22	https://cdn.dribbble.com/userupload/3938331/file/original-6350195b7dd8a06f9dbce8a8aeee3e72.jpg	C:/My%20Web%20Sites/Density/cdn.dribbble.com/userupload/3938331/file/original-6350195b7dd8a06f9dbce8a8aeee3e72.jpg	(from https://dribbble.com/shots/19807069-Ahead-app-redesign-concept)
14:51:45	3515/3515	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Jul%202023%2014:19:31%20GMT	https://cdn.dribbble.com/users/1998175/avatars/small/af46ac7b92eb85f76f5a3fe4f214fdf2.jpg?1542363868	C:/My%20Web%20Sites/Density/cdn.dribbble.com/users/1998175/avatars/small/af46ac7b92eb85f76f5a3fe4f214fdf2accb.jpg	(from https://dribbble.com/shots/19807069-Ahead-app-redesign-concept)
14:51:46	276380/276380	---MCZ	200	added ('OK')	text/html	etag:W/%22242eb422f527f303df3bf34b66be52ba%22	https://dribbble.com/shots/popular	C:/My%20Web%20Sites/Density/dribbble.com/shots/popular.html	(from https://dribbble.com/shots/19807069-Ahead-app-redesign-concept)
14:51:47	31171/31171	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2026%20Oct%202023%2016:59:18%20GMT	https://cdn.dribbble.com/assets/packs/js/shot-page.162229822168a07abbbf.js	C:/My%20Web%20Sites/Density/cdn.dribbble.com/assets/packs/js/shot-page.162229822168a07abbbf.js	(from https://dribbble.com/shots/19807069-Ahead-app-redesign-concept)
14:51:51	80185/80185	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2027%20Oct%202023%2014:05:13%20GMT	https://cdn.dribbble.com/assets/shot-show-legacy-js-519edcf9521a19bccccef5963389a7b7c2d16f2c7da5ed1fcd5188e50048b6ad.js	C:/My%20Web%20Sites/Density/cdn.dribbble.com/assets/shot-show-legacy-js-519edcf9521a19bccccef5963389a7b7c2d16f2c7da5ed1fcd5188e50048b6ad.js	(from https://dribbble.com/shots/19807069-Ahead-app-redesign-concept)
14:51:53	86944/86944	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2005%20Oct%202020%2015:39:15%20GMT	https://cdn.dribbble.com/assets/jquery-3.2.1.min-fe436dfd579c3153d6ecfe2c7e893127c27ff1fe44f276d9f149535ba5e6f2c0.js	C:/My%20Web%20Sites/Density/cdn.dribbble.com/assets/jquery-3.2.1.min-fe436dfd579c3153d6ecfe2c7e893127c27ff1fe44f276d9f149535ba5e6f2c0.js	(from https://dribbble.com/shots/19807069-Ahead-app-redesign-concept)
14:51:55	495902/495902	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20Jul%202023%2011:00:43%20GMT	https://cdn.dribbble.com/userupload/3938331/file/original-6350195b7dd8a06f9dbce8a8aeee3e72.jpg?resize=752x	C:/My%20Web%20Sites/Density/cdn.dribbble.com/userupload/3938331/file/original-6350195b7dd8a06f9dbce8a8aeee3e721823.jpg	(from https://dribbble.com/shots/19807069-Ahead-app-redesign-concept)
14:51:56	384/384	---M--	200	added ('OK')	image/png	date:Tue,%2013%20Jul%202021%2017:59:34%20GMT	https://cdn.dribbble.com/assets/tipsy-deepbluesea-0337fb48846c83172dda1ad9de8ae38c6cd277e7e5ab47cd1b6789f313ace7ad.png	C:/My%20Web%20Sites/Density/cdn.dribbble.com/assets/tipsy-deepbluesea-0337fb48846c83172dda1ad9de8ae38c6cd277e7e5ab47cd1b6789f313ace7ad.png	(from https://cdn.dribbble.com/assets/mini-master-async-4f32514148eecbf0aa51465a1ea4e4519b85c29e6c60958e0c066569c0cc16f4.css)
14:51:56	79734/79734	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2026%20Oct%202023%2013:28:06%20GMT	https://cdn.dribbble.com/assets/shots-manifest-edb26351396d00e28c3d077f4796065b31a8109203d84922ba54fd5d52b85ccb.js	C:/My%20Web%20Sites/Density/cdn.dribbble.com/assets/shots-manifest-edb26351396d00e28c3d077f4796065b31a8109203d84922ba54fd5d52b85ccb.js	(from https://dribbble.com/shots/19807069-Ahead-app-redesign-concept)
14:51:57	977/977	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Apr%202021%2017:24:52%20GMT	https://cdn.dribbble.com/assets/tipsy-blue-5f27e8478b146b7b4e0c3bf6f477adea051d02e319de4f06c332a73ea504b588.png	C:/My%20Web%20Sites/Density/cdn.dribbble.com/assets/tipsy-blue-5f27e8478b146b7b4e0c3bf6f477adea051d02e319de4f06c332a73ea504b588.png	(from https://cdn.dribbble.com/assets/mini-master-async-4f32514148eecbf0aa51465a1ea4e4519b85c29e6c60958e0c066569c0cc16f4.css)
14:51:57	1123/1123	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Feb%202023%2000:00:02%20GMT	https://cdn.dribbble.com/assets/tipsy-pink-1d6bd4d674a0597b7c5cad5d8e658135724c6aacac05bc0b69e3544580498003.png	C:/My%20Web%20Sites/Density/cdn.dribbble.com/assets/tipsy-pink-1d6bd4d674a0597b7c5cad5d8e658135724c6aacac05bc0b69e3544580498003.png	(from https://cdn.dribbble.com/assets/mini-master-async-4f32514148eecbf0aa51465a1ea4e4519b85c29e6c60958e0c066569c0cc16f4.css)
14:51:58	1116/1116	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Oct%202020%2015:43:00%20GMT	https://cdn.dribbble.com/assets/tipsy-seafoam-175b1fa2ee2dced66e7d4c3bd2b87b42efa6982770dc2e245c7f01acfc40aa97.png	C:/My%20Web%20Sites/Density/cdn.dribbble.com/assets/tipsy-seafoam-175b1fa2ee2dced66e7d4c3bd2b87b42efa6982770dc2e245c7f01acfc40aa97.png	(from https://cdn.dribbble.com/assets/mini-master-async-4f32514148eecbf0aa51465a1ea4e4519b85c29e6c60958e0c066569c0cc16f4.css)
14:51:58	300/300	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2005%20Oct%202020%2016:47:32%20GMT	https://cdn.dribbble.com/assets/icons/caret-right-db4f0a89979b986123042cddfe6b294068230a12504a8e19386f78725b30d059.svg	C:/My%20Web%20Sites/Density/cdn.dribbble.com/assets/icons/caret-right-db4f0a89979b986123042cddfe6b294068230a12504a8e19386f78725b30d059.svg	(from https://cdn.dribbble.com/assets/mini-master-async-4f32514148eecbf0aa51465a1ea4e4519b85c29e6c60958e0c066569c0cc16f4.css)
14:51:58	86659/86659	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	C:/My%20Web%20Sites/Density/ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from https://dribbble.com/shots/19807069-Ahead-app-redesign-concept)
14:51:58	300146/300146	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2007%20Nov%202023%2021:57:25%20GMT	https://cdn.dribbble.com/assets/packs/js/application.da07be7106dac7b39120.js	C:/My%20Web%20Sites/Density/cdn.dribbble.com/assets/packs/js/application.da07be7106dac7b39120.js	(from https://dribbble.com/shots/19807069-Ahead-app-redesign-concept)
14:51:59	1282/1282	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Sep%202022%2022:09:04%20GMT	https://cdn.dribbble.com/assets/icon-portal-arrow-7e5f7d753a397fb5b0fd81f7c72627d26feeeda0bab1895e660155260a5231a2.png	C:/My%20Web%20Sites/Density/cdn.dribbble.com/assets/icon-portal-arrow-7e5f7d753a397fb5b0fd81f7c72627d26feeeda0bab1895e660155260a5231a2.png	(from https://cdn.dribbble.com/assets/shot/shot-page-12f84a737bffe1e4a55237ce85aef915bfd56a114f08e27e67ad7eb12e91c5be.css)
